,HR
2020-04-10 17:42:22,48.0
2020-04-10 17:42:23,53.5
2020-04-10 17:42:24,56.0
2020-04-10 17:42:25,63.0
2020-04-10 17:42:26,67.0
2020-04-10 17:42:27,69.5
2020-04-10 17:42:28,71.29
2020-04-10 17:42:29,72.62
2020-04-10 17:42:30,73.67
2020-04-10 17:42:31,74.5
2020-04-10 17:42:32,75.09
2020-04-10 17:42:33,75.5
2020-04-10 17:42:34,75.77
2020-04-10 17:42:35,76.0
2020-04-10 17:42:36,76.13
2020-04-10 17:42:37,76.19
2020-04-10 17:42:38,76.18
2020-04-10 17:42:39,76.11
2020-04-10 17:42:40,76.05
2020-04-10 17:42:41,76.0
2020-04-10 17:42:42,75.95
2020-04-10 17:42:43,75.91
2020-04-10 17:42:44,75.91
2020-04-10 17:42:45,75.92
2020-04-10 17:42:46,75.96
2020-04-10 17:42:47,76.0
2020-04-10 17:42:48,76.07
2020-04-10 17:42:49,76.14
2020-04-10 17:42:50,76.21
2020-04-10 17:42:51,76.3
2020-04-10 17:42:52,76.42
2020-04-10 17:42:53,76.56
2020-04-10 17:42:54,76.73
2020-04-10 17:42:55,76.88
2020-04-10 17:42:56,77.03
2020-04-10 17:42:57,77.19
2020-04-10 17:42:58,77.35
2020-04-10 17:42:59,77.53
2020-04-10 17:43:00,77.69
2020-04-10 17:43:01,77.82
2020-04-10 17:43:02,77.95
2020-04-10 17:43:03,78.05
2020-04-10 17:43:04,78.14
2020-04-10 17:43:05,78.23
2020-04-10 17:43:06,78.31
2020-04-10 17:43:07,78.37
2020-04-10 17:43:08,78.43
2020-04-10 17:43:09,78.48
2020-04-10 17:43:10,78.53
2020-04-10 17:43:11,78.58
2020-04-10 17:43:12,78.63
2020-04-10 17:43:13,78.65
2020-04-10 17:43:14,78.68
2020-04-10 17:43:15,78.7
2020-04-10 17:43:16,78.73
2020-04-10 17:43:17,78.75
2020-04-10 17:43:18,78.77
2020-04-10 17:43:19,78.81
2020-04-10 17:43:20,78.85
2020-04-10 17:43:21,78.9
2020-04-10 17:43:22,79.48
2020-04-10 17:43:23,79.9
2020-04-10 17:43:24,80.28
2020-04-10 17:43:25,80.3
2020-04-10 17:43:26,80.33
2020-04-10 17:43:27,80.38
2020-04-10 17:43:28,80.45
2020-04-10 17:43:29,80.52
2020-04-10 17:43:30,80.57
2020-04-10 17:43:31,80.62
