,time,BVP_1
0,2020-04-10 17:43:00.000000,35.13
1,2020-04-10 17:43:00.015625,36.54
2,2020-04-10 17:43:00.031250,37.81
3,2020-04-10 17:43:00.046875,38.04
4,2020-04-10 17:43:00.062500,36.67
5,2020-04-10 17:43:00.078125,33.62
6,2020-04-10 17:43:00.093750,29.31
7,2020-04-10 17:43:00.109375,24.42
8,2020-04-10 17:43:00.125000,19.61
9,2020-04-10 17:43:00.140625,15.25
10,2020-04-10 17:43:00.156250,11.26
11,2020-04-10 17:43:00.171875,7.24
12,2020-04-10 17:43:00.187500,2.71
13,2020-04-10 17:43:00.203125,-2.62
14,2020-04-10 17:43:00.218750,-8.61
15,2020-04-10 17:43:00.234375,-14.77
16,2020-04-10 17:43:00.250000,-20.43
17,2020-04-10 17:43:00.265625,-25.07
18,2020-04-10 17:43:00.281250,-28.54
19,2020-04-10 17:43:00.296875,-31.14
20,2020-04-10 17:43:00.312500,-33.51
21,2020-04-10 17:43:00.328125,-36.33
22,2020-04-10 17:43:00.343750,-40.16
23,2020-04-10 17:43:00.359375,-45.29
24,2020-04-10 17:43:00.375000,-51.77
25,2020-04-10 17:43:00.390625,-59.32
26,2020-04-10 17:43:00.406250,-67.26
27,2020-04-10 17:43:00.421875,-74.39
28,2020-04-10 17:43:00.437500,-78.98
29,2020-04-10 17:43:00.453125,-79.11
30,2020-04-10 17:43:00.468750,-73.25
31,2020-04-10 17:43:00.484375,-60.88
32,2020-04-10 17:43:00.500000,-42.88
33,2020-04-10 17:43:00.515625,-21.43
34,2020-04-10 17:43:00.531250,0.6
35,2020-04-10 17:43:00.546875,20.49
36,2020-04-10 17:43:00.562500,36.39
37,2020-04-10 17:43:00.578125,47.66
38,2020-04-10 17:43:00.593750,54.63
39,2020-04-10 17:43:00.609375,58.17
40,2020-04-10 17:43:00.625000,59.16
41,2020-04-10 17:43:00.640625,58.25
42,2020-04-10 17:43:00.656250,55.93
43,2020-04-10 17:43:00.671875,52.63
44,2020-04-10 17:43:00.687500,48.95
45,2020-04-10 17:43:00.703125,45.59
46,2020-04-10 17:43:00.718750,43.25
47,2020-04-10 17:43:00.734375,42.35
48,2020-04-10 17:43:00.750000,42.81
49,2020-04-10 17:43:00.765625,44.09
50,2020-04-10 17:43:00.781250,45.38
51,2020-04-10 17:43:00.796875,45.85
52,2020-04-10 17:43:00.812500,44.99
53,2020-04-10 17:43:00.828125,42.67
54,2020-04-10 17:43:00.843750,39.07
55,2020-04-10 17:43:00.859375,34.57
56,2020-04-10 17:43:00.875000,29.57
57,2020-04-10 17:43:00.890625,24.36
58,2020-04-10 17:43:00.906250,19.13
59,2020-04-10 17:43:00.921875,13.96
60,2020-04-10 17:43:00.937500,8.85
61,2020-04-10 17:43:00.953125,3.76
62,2020-04-10 17:43:00.968750,-1.33
63,2020-04-10 17:43:00.984375,-6.39
64,2020-04-10 17:43:01.000000,-11.36
65,2020-04-10 17:43:01.015625,-16.09
66,2020-04-10 17:43:01.031250,-20.45
67,2020-04-10 17:43:01.046875,-24.36
68,2020-04-10 17:43:01.062500,-27.85
69,2020-04-10 17:43:01.078125,-31.04
70,2020-04-10 17:43:01.093750,-34.13
71,2020-04-10 17:43:01.109375,-37.36
72,2020-04-10 17:43:01.125000,-41.01
73,2020-04-10 17:43:01.140625,-45.49
74,2020-04-10 17:43:01.156250,-51.16
75,2020-04-10 17:43:01.171875,-58.12
76,2020-04-10 17:43:01.187500,-65.78
77,2020-04-10 17:43:01.203125,-72.72
78,2020-04-10 17:43:01.218750,-76.8
79,2020-04-10 17:43:01.234375,-75.8
80,2020-04-10 17:43:01.250000,-68.23
81,2020-04-10 17:43:01.265625,-54.07
82,2020-04-10 17:43:01.281250,-34.9
83,2020-04-10 17:43:01.296875,-13.45
84,2020-04-10 17:43:01.312500,7.3
85,2020-04-10 17:43:01.328125,25.03
86,2020-04-10 17:43:01.343750,38.56
87,2020-04-10 17:43:01.359375,47.81
88,2020-04-10 17:43:01.375000,53.32
89,2020-04-10 17:43:01.390625,55.75
90,2020-04-10 17:43:01.406250,55.6
91,2020-04-10 17:43:01.421875,53.22
92,2020-04-10 17:43:01.437500,49.06
93,2020-04-10 17:43:01.453125,43.86
94,2020-04-10 17:43:01.468750,38.63
95,2020-04-10 17:43:01.484375,34.46
96,2020-04-10 17:43:01.500000,32.16
97,2020-04-10 17:43:01.515625,31.9
98,2020-04-10 17:43:01.531250,33.16
99,2020-04-10 17:43:01.546875,34.91
100,2020-04-10 17:43:01.562500,36.02
