,BVP_1
0,35.13
1,36.54
2,37.81
3,38.04
4,36.67
5,33.62
6,29.31
7,24.42
8,19.61
9,15.25
10,11.26
11,7.24
12,2.71
13,-2.62
14,-8.61
15,-14.77
16,-20.43
17,-25.07
18,-28.54
19,-31.14
20,-33.51
21,-36.33
22,-40.16
23,-45.29
24,-51.77
25,-59.32
26,-67.26
27,-74.39
28,-78.98
29,-79.11
30,-73.25
31,-60.88
32,-42.88
33,-21.43
34,0.6
35,20.49
36,36.39
37,47.66
38,54.63
39,58.17
40,59.16
41,58.25
42,55.93
43,52.63
44,48.95
45,45.59
46,43.25
47,42.35
48,42.81
49,44.09
50,45.38
51,45.85
52,44.99
53,42.67
54,39.07
55,34.57
56,29.57
57,24.36
58,19.13
59,13.96
60,8.85
61,3.76
62,-1.33
63,-6.39
64,-11.36
65,-16.09
66,-20.45
67,-24.36
68,-27.85
69,-31.04
70,-34.13
71,-37.36
72,-41.01
73,-45.49
74,-51.16
75,-58.12
76,-65.78
77,-72.72
78,-76.8
79,-75.8
80,-68.23
81,-54.07
82,-34.9
83,-13.45
84,7.3
85,25.03
86,38.56
87,47.81
88,53.32
89,55.75
90,55.6
91,53.22
92,49.06
93,43.86
94,38.63
95,34.46
96,32.16
97,31.9
98,33.16
99,34.91
100,36.02
101,35.66
102,33.62
103,30.28
104,26.33
105,22.38
106,18.7
107,15.11
108,11.25
109,6.81
110,1.75
111,-3.65
112,-8.96
113,-13.81
114,-18.07
115,-21.82
116,-25.3
117,-28.7
118,-32.14
119,-35.66
120,-39.37
121,-43.58
122,-48.65
123,-54.76
124,-61.48
125,-67.53
126,-70.94
127,-69.6
128,-62.14
129,-48.57
130,-30.41
131,-10.27
132,9.07
133,25.52
134,38.11
135,46.85
136,52.21
137,54.61
138,54.25
139,51.27
140,46.18
141,40.01
142,34.2
143,30.12
144,28.55
145,29.35
146,31.53
147,33.67
148,34.51
149,33.44
150,30.61
151,26.74
152,22.63
153,18.79
154,15.16
155,11.28
156,6.6
157,0.84
158,-5.77
159,-12.53
160,-18.67
161,-23.62
162,-27.28
163,-30.05
164,-32.53
165,-35.34
166,-38.94
167,-43.57
168,-49.34
169,-56.13
170,-63.39
171,-70
172,-74.27
173,-74.29
174,-68.56
175,-56.64
176,-39.48
177,-19.24
178,1.35
179,19.8
180,34.52
181,44.99
182,51.49
183,54.68
184,55.18
185,53.42
186,49.85
187,45.11
188,40.17
189,36.12
190,33.84
191,33.57
192,34.8
193,36.46
194,37.35
195,36.66
196,34.23
197,30.52
198,26.33
199,22.29
200,18.6
201,14.91
202,10.63
203,5.27
204,-1.22
205,-8.31
206,-15.14
207,-20.85
208,-25.01
209,-27.84
210,-30.04
211,-32.53
212,-36.04
213,-40.97
214,-47.28
215,-54.57
216,-62.1
217,-68.74
218,-72.91
219,-72.88
220,-67.17
221,-55.24
222,-37.9
223,-17.25
224,3.85
225,22.68
226,37.48
227,47.67
228,53.72
229,56.54
230,56.97
231,55.54
232,52.57
233,48.43
234,43.76
235,39.44
236,36.32
237,34.92
238,35.23
239,36.68
240,38.31
241,39.13
242,38.42
243,35.92
244,31.88
245,26.87
246,21.55
247,16.43
248,11.66
249,7.11
250,2.47
251,-2.5
252,-7.83
253,-13.27
254,-18.42
255,-22.89
256,-26.53
257,-29.51
258,-32.21
259,-35.13
260,-38.69
261,-43.14
262,-48.58
263,-54.99
264,-62.09
265,-69.19
266,-74.96
267,-77.53
268,-74.96
269,-65.95
270,-50.48
271,-30.08
272,-7.49
273,14.23
274,32.54
275,46.09
276,54.72
277,59.12
278,60.23
279,58.86
280,55.61
281,51.07
282,45.96
283,41.19
284,37.66
285,35.96
286,36.11
287,37.53
288,39.24
289,40.18
290,39.61
291,37.31
292,33.59
293,29.08
294,24.43
295,20.08
296,16.06
297,12.13
298,7.86
299,2.97
300,-2.57
301,-8.43
302,-14.1
303,-19.07
304,-23.1
305,-26.27
306,-29
307,-31.79
308,-35.04
309,-38.99
310,-43.76
311,-49.38
312,-55.8
313,-62.61
314,-68.8
315,-72.73
316,-72.44
317,-66.35
318,-53.96
319,-36.32
320,-15.76
321,4.78
322,22.75
323,36.61
324,46.02
325,51.42
326,53.54
327,52.96
328,50.08
329,45.38
330,39.69
331,34.2
332,30.14
333,28.39
334,29.03
335,31.3
336,33.86
337,35.37
338,34.98
339,32.62
340,28.9
341,24.7
342,20.69
343,17.03
344,13.39
345,9.16
346,3.89
347,-2.41
348,-9.2
349,-15.59
350,-20.78
351,-24.38
352,-26.66
353,-28.38
354,-30.51
355,-33.88
356,-38.86
357,-45.37
358,-52.86
359,-60.39
360,-66.69
361,-70.19
362,-69.35
363,-63.07
364,-51.13
365,-34.5
366,-15.2
367,4.23
368,21.42
369,34.8
370,43.79
371,48.68
372,50.18
373,49.08
374,46.1
375,41.92
376,37.29
377,33.06
378,30.01
379,28.64
380,28.94
381,30.4
382,32.13
383,33.14
384,32.73
385,30.63
386,27.07
387,22.64
388,18.03
389,13.71
390,9.71
391,5.68
392,1.07
393,-4.56
394,-11.16
395,-18.15
396,-24.62
397,-29.69
398,-33
399,-34.89
